,smiles,value,mu
55,CC1(CC(N)=O)CO1,-0.2408,3.0977
56,CC1(O)CC2(CO2)C1,-0.2549,1.3194
57,CC(C)C1(C)OC1C,-0.2531,1.7231
58,c1nc(nc(n1)O)C#N,-0.3041,2.8155
59,COC=NC1CC1,-0.228,2.7958
60,CN1CC(O)CC(=O)C1,-0.2221,1.7990000000000002
61,OCC1(O)CCOC1=N,-0.2593,2.8105
62,C1OCC2C3NC3C12,-0.2212,3.1384
63,C1C2COC3C4CC23N14,-0.2305,2.719
64,CC(C)(CC(=O)C#N)O,-0.2838,4.4978
65,C#CC1(C(=O)CN1)C#C,-0.2482,2.355
66,CC(=NO)C1(CC1)C#C,-0.2332,0.4984
67,CC(C#N)C1=CNN=N1,-0.271,2.1390000000000002
68,OCCC1(O)CC(O)C1,-0.2389,1.7821
69,CC12OC1CC2(C)C#C,-0.2461,1.2879
70,C1C(=O)C=C(C1=O)N,-0.2357,4.0541
71,N#CC12COC1CCO2,-0.275,3.6562
72,Cc1[nH]c(cc(=O)n1)N,-0.2181,8.3106
73,CC(O)C1=CN=NN=N1,-0.2704,3.7913
74,CC(C)(C)C1(CC1)C#N,-0.2821,4.0731
75,CC1OC2(C)COCC12,-0.2432,2.1035
76,c1c[nH]nc1OCC=O,-0.2299,4.3913
77,[NH3+]C(CCC([O-])=O)C#C,-0.243,6.3915
78,CC12CCOC(=N)C1O2,-0.2643,3.9313
79,OC1CC1NC=O,-0.2369,4.3587
80,C(C1CC1)C1OC2CC12,-0.2321,1.4787
81,CC1(C)COC(=O)C1N,-0.2428,3.2016
82,CN=C1OC(F)=NC=N1,-0.2619,1.472
83,OC12CC(=O)C1C=CC2,-0.2305,3.4256
84,OC1CC2C3NC3C2=C1,-0.2306,2.9332
85,CN1CC1(CO)CO,-0.2351,2.0232
86,CC1CC2(CC12)OC=O,-0.2634,3.9976
87,C(=N)Nc1c(nno1)N,-0.2254,5.7968
88,c1cnnc(n1)N=CN,-0.2178,2.7709
89,OCC1C2C(CN12)C#N,-0.2561,4.1835
90,Cc1cc(ccc1O)N,-0.1803,2.0645
91,CC12CC3(O)C1CCC23,-0.2496,1.3113
92,COCC12CC3CN1C23,-0.2347,0.8061
93,OCC1OC2CC1CO2,-0.2531,2.7063
94,O=C1C2CC1OC(=O)C2,-0.2563,3.9918
95,CC1OC(C)(C#N)C1O,-0.2799,2.9864
96,CN(C)C(C#N)C(N)=O,-0.251,6.3308
97,CC1([NH3+])CCC1C([O-])=O,-0.2497,5.4722
98,N=C1C=NNN=N1,-0.2508,2.7116
99,c1cn2c(c1C#N)CC2,-0.22699999999999998,6.6091
100,OC1C(=O)NC11CC1,-0.245,2.6139
101,C(=N)N(C=N)C=O,-0.2514,5.249
102,C1C2N=CNC=NC12,-0.2154,2.2872
103,CC1CCC=C(C1)C#C,-0.2223,0.9748
104,OC1CC2OCC12C#C,-0.2489,0.9835
105,CC(O)C(O)CC(N)=O,-0.235,4.0967
106,C1CC12CCN=CO2,-0.2394,2.1632
107,C#CC1=CCOCC=C1,-0.2196,1.1658
108,COCC1CCOC=N1,-0.2417,1.7511
109,C#CC1(CN2CC2)CO1,-0.2361,2.7166
110,CC(C)C1=CCC2CC12,-0.2167,0.1866
111,CC1C(CO)N1CC=O,-0.2362,3.8806
112,CCCNC(=O)OC,-0.247,2.2456
113,OC1CCOCC=CC1,-0.2455,2.2171
114,CCCN1C2CC1C2=O,-0.2461,2.0126
115,CC#CC1CNC(=O)N1,-0.2467,4.1262
116,c1cc([nH]c1)C(=O)C#N,-0.2512,5.4679
117,CC(=O)C1(CC(=O)C1)O,-0.2497,3.5001
118,C1CC2C3OC=NC2C13,-0.2405,2.0258
119,CN1C2CC1C2CC#N,-0.2175,3.5663
120,CC12CC1C(O)CO2,-0.2291,1.177
121,C#CC1CCC2CCC12,-0.253,0.7997
122,OC12C3OC1C3C21CC1,-0.2348,0.7304
123,CC1(C)N2CC1(C2)C#N,-0.2536,2.522
124,CC1=CC2=CCOC2C1,-0.20800000000000002,1.692
125,N#CC12COC(O1)C=C2,-0.2732,3.659
126,CCN1C=NC(C)C1=N,-0.2222,3.593
127,COCC1CC1N1CC1,-0.2321,1.5011
128,CCC1=CC2OC1C2C,-0.22399999999999998,1.8414
129,COCCC1CCCC1,-0.2491,1.0331
130,COC1C2NC(=O)NC12,-0.2267,4.4909
131,OCC1C(O)CC1C#N,-0.263,5.7997
132,CCCCC(NC)C#N,-0.2361,4.9373
133,CC12OC1COCC=C2,-0.2466,1.7454
134,c1nc([nH]n1)C2CC2,-0.2427,3.1104
135,N=C1NC(=O)NC11CC1,-0.2378,1.4506
136,CC#CCC(C)C=O,-0.2441,2.9255
137,CC(=N)Nc1ncon1,-0.2384,3.8132
138,O=C1C=CNCC2CN12,-0.2156,5.7256
139,OC12CCC(C=C1)C2=O,-0.2472,2.372
140,O=CN1C2CCCC12,-0.2469,3.6536
141,COC(=O)C1(CO1)C#N,-0.2983,2.9308
142,CN1CC1(C)CO,-0.2295,1.9572
143,CC1=CCC=CC=CC1,-0.2107,0.3378
144,CCC1(CCC=O)CO1,-0.2504,2.8972
145,CCCn1ccc(c1)N,-0.1708,1.7649
146,CN(C)c1cc[nH]c1,-0.1681,1.4141
147,CC1OC2CC=CC12C,-0.24,1.5596
148,OC1CNC2=NON=C12,-0.2408,4.1932
149,C1CC2C3C=CC2C13,-0.2142,0.3087
150,CC1C2COC12C1CC1,-0.2224,1.4349
151,C#CC1(CC#N)CO1,-0.2804,4.7991
152,OC1CCC=C1,-0.2491,1.7344
153,CC(C=O)C(CO)C#N,-0.2651,3.9513
154,Cc1c[nH]nc1N,-0.1975,1.7753
155,CC1(CO1)C(=O)CC#N,-0.2732,5.2593
156,CC(=NO)C(CO)C#N,-0.2686,3.0758
157,C#CC1OC2(CC12)C#N,-0.2652,4.6339
158,O=CCNC1CN2CC12,-0.2303,1.3627
159,OC12C3C1N1CC3CC21,-0.222,0.1794
160,CCOC1(CC1)CC#C,-0.2461,1.3105
161,CC12CCC1C1CC1C2,-0.2559,0.2148
162,CC1C(C)C2=CN=CN12,-0.2122,4.3107
163,CN1CC2(O)CCN=C12,-0.2178,1.4057
164,CC12CC3(C)C1C(O)C23,-0.248,1.6872
165,CC1OCC(C#C)=C1C,-0.2231,1.4801
166,O=C1NC=CC11CO1,-0.226,3.9663
167,Cc1cc(nn1C)N,-0.1909,2.0751
168,CC1(CC#CC#C)CO1,-0.2437,2.2149
169,CC1=C(F)C(=N)ON=N1,-0.2617,2.2653
170,CC#CCC1OC1C,-0.2433,1.6163
171,CCC1(CN1)C1(O)CC1,-0.2371,2.3625
172,FC(F)(F)C1NCC1=O,-0.2644,3.6180000000000003
173,CC1NC(=O)C1(N)C#C,-0.2444,3.0677
174,C1CC12CCOC(=O)O2,-0.2706,5.6379
175,CCC(CC)CC(C)O,-0.2617,1.6122
176,c1c(nno1)C2CCC2,-0.2633,3.846
177,CCC1C2C3N1C2C3=O,-0.2485,3.6195
178,N#CC12CCC1(N2)C#N,-0.3018,6.5373
179,N#CC1C2NC2C2NC12,-0.2429,6.1992
180,CC1OC(=N)OC1C=O,-0.2601,5.2984
181,C1CN1CC2COC2,-0.2386,2.6501
182,C1C2CC3C4OC4C1N23,-0.2137,0.2872
183,COC1CCC2CC1O2,-0.2365,2.4954
184,C(CO)N(CCO)C=O,-0.2501,4.3285
185,CCC1(O)CCC2OC12,-0.2568,1.7705
186,CC1CCCC=CCC1,-0.2342,0.2038
187,Cc1cc(oc1NC)C,-0.1702,1.1198
188,CC1(C)CCCC2CC12,-0.2603,0.1775
189,OC1(CCOC1)C1CC1,-0.2439,1.3069
190,CC(C)C(CC#N)C=O,-0.2623,5.3863
191,N=COC1(CNC1)C#N,-0.253,3.2460000000000004
192,NC(=O)C(OC=N)C=O,-0.2577,1.7889
193,O=CN1CCC1CC#N,-0.2538,6.0406
194,CCC#Cc1cnc[nH]1,-0.2075,3.7260000000000004
195,C1OC2C1C1C3CC2N13,-0.2368,1.3159
196,CCNc1cc(co1)N,-0.1652,2.114
197,CCC(=O)N(C)C,-0.2336,3.3917
198,FC1=CNC=CC1=N,-0.1961,5.7887
199,CCOC1CCCC1C,-0.2437,0.9328
200,CC1CC11CC(CO)C1,-0.251,1.3525
201,COC12CC(C1C)C2O,-0.2359,1.0781
202,CC(OC=N)C#N,-0.2856,3.4010000000000002
203,CC1(C#N)C2OC=NC12,-0.263,3.4643
204,CCC12CC1N(C)C2=O,-0.2303,3.3602
205,CC1(O)CC11CCC1,-0.2417,1.2169
206,CC1CC2C(O)C2O1,-0.2355,1.8633
207,CC1NC(=N)N(C)C1=O,-0.2389,3.012
208,N#CC12C3CN1CC2N3,-0.2401,3.6946
209,CCNC(=O)N1CC1C,-0.2402,3.3381
210,CCC1CC(C)(O)C=C1,-0.2423,1.2897
211,OC(C=O)C12CC1CC2,-0.2517,2.1562
212,CC1C2C3C4C(C=C13)N24,-0.2091,0.9047
213,CC(=N)OCC#N,-0.2876,1.9312
214,C1C2N1CC21COC=N1,-0.2372,2.4302
215,CC#CC(C)C1OC1C,-0.2437,1.6127
216,N=C1OC2C3CC3OC12,-0.252,3.2534
217,CC([NH2+]C1CC1)C([O-])=O,-0.2389,5.221
218,OC12C=CC34OC(C13)C24,-0.2293,2.2398
219,CC(C)(CC1CO1)C#C,-0.2594,1.5217
220,CC1=CCc2n1ncc2,-0.2129,2.3595
221,O=CNCC1CC1C=O,-0.2536,5.031000000000001
222,CC1CC2(CCC2)O1,-0.23600000000000002,1.4423
223,OCC1CC1(CO)C=O,-0.2529,2.7223
224,O=CCC1CC=CC1=O,-0.2404,4.9915
225,COCC#CCNC=O,-0.2485,4.6315
226,CC(C)(COC)COC,-0.2492,1.9137
227,CC(C)C12OC1C1CC21,-0.2258,1.8222
228,CC(=O)C1(O)CN2CC12,-0.2355,2.0167
229,CCc1c(n(nn1)C)N,-0.2139,4.9044
230,CC([NH3+])CCCC([O-])=O,-0.2401,6.416
231,OCC1C2OC3C2OC13,-0.2483,1.2937
232,CC1(CC#N)C2CC1C2,-0.3044,3.9936
233,COC(=O)C(C)CCO,-0.2649,2.1147
234,c1cc(c(nc1)C#N)O,-0.2579,4.2958
235,CC12C3C4C3C1(C#N)C24,-0.2424,4.5984
236,NCC[NH2+]CCC([O-])=O,-0.2469,5.6606
237,Cc1cncnc1C=O,-0.2583,1.2562
238,COCC1(CC1)CC#C,-0.2519,0.9365
239,CC12NC1C(C=O)C=C2,-0.2311,3.947
240,CC1C2OC1(C)C2C,-0.2301,1.8714
241,N=C1C2OCC2N1C=O,-0.2581,4.7378
242,COC1CC2(C)NC12,-0.222,2.2809
243,c1c2n(c(n1)O)CCO2,-0.1848,3.4652
244,CC1C=CCC2OC12C,-0.2414,1.6826
245,CC1CC(C)(CO)CO1,-0.2362,2.6719999999999997
246,c1c2c(on1)OCC2,-0.2207,4.5481
247,OC1COCC1C=O,-0.2495,2.9326
248,CC1OC(C)=NCC1=O,-0.2317,2.0703
249,CC1CC2(CO2)C1C#C,-0.2513,2.1227
250,CCCCCCC(C)O,-0.2612,1.3982
251,CC12C3C1C1CC2C3O1,-0.2447,1.7289
252,CC1CCOCC=CC1,-0.2413,1.5336
253,CC1=CCC2(C)NC12,-0.2202,1.5528
254,C#CCNCC(F)(F)F,-0.25,2.4692
255,OCCC12CC3C1N3C2,-0.2332,2.0482
256,CC1=CC2(CO2)C(=O)C1,-0.2404,3.7698
257,O=CC1CC1CC1CC1,-0.2442,3.4253
258,C#CCC1OCC2OC12,-0.2521,2.4376
259,C#CC1CC=CCC=C1,-0.2339,0.826
260,CCC1(CO)NCC1=O,-0.2405,0.9326
261,C#CCC1CC2COC12,-0.2436,1.7779
262,CC(C)(CCCO)CO,-0.2619,2.6423
263,N#CC1C2COCOC12,-0.2682,5.4975
264,CC(O)C12COC1C2O,-0.2341,2.516
265,CC12CN3CCC(O1)C23,-0.2134,0.5102
266,OCC12CN3C1CC23,-0.2261,2.9541
267,COC12CC1COCC2,-0.2455,1.8464
268,CC(C)N=C1C=CCO1,-0.2321,2.8114
269,CC#CC1CCC11CO1,-0.2377,1.9508
270,COc1cnoc1C=O,-0.2528,6.2139
271,NC1=CC(C[NH3+])=C([O-])O1,-0.1993,3.6947
272,C(C(=O)NC=O)NC=O,-0.2594,2.6243
273,c1nc(nnn1)C(=N)N,-0.2558,2.3779
274,c1c2c([nH]n1)C=CC2,-0.2077,2.4306
275,OC1C2CCOC12C#C,-0.2366,1.8819
276,N=C1OCOC(=O)C1=O,-0.281,4.8689
277,CC12CC3(C)OC3C1O2,-0.2569,3.3484
278,CC1CC(CC#N)C1O,-0.2715,3.7447
279,CC1CN1C1=NNC=C1,-0.2041,2.1212
280,CC(C)(C)C(=NO)C#C,-0.2373,0.4932
281,CC(=O)C1COC(=N)N1,-0.2345,5.2241
282,Cc1c(ocn1)C2CC2,-0.2154,1.9742
283,c1c(nc(o1)NC=O)N,-0.1996,3.0371
284,N=C1CN=C2OCCN12,-0.2251,2.3763
285,CC#CCNC(C)C=O,-0.2307,3.1596
286,O=C1C=CCC1C1CC1,-0.2301,3.3203
287,Cc1cc(n[nH]1)C#N,-0.2618,6.9872
288,N#CC1=CC2(CO2)CC1,-0.2627,3.9416
289,OC12CN3C1C2C31CC1,-0.2153,2.1617
290,C[NH+]=C(N)C1=NC=N[N-]1,-0.2159,8.7971
291,CC(C)(C)C1CC(=O)C1,-0.2385,3.0318
292,OC1C2CC1C(=N)O2,-0.2504,3.3789
293,CC1C2CN2CC1(C)O,-0.2316,1.7939
294,CN1CC=C(C)C1C=O,-0.2123,2.6612
295,OC1C(OC1=N)C#N,-0.2947,2.7466
296,COC(C)C(C)O,-0.2497,1.8458
297,C(C#CC(=O)CO)O,-0.2581,4.4045
298,COCCCC1CC1,-0.2497,0.9473
299,COCC(C#C)C(C)=O,-0.2458,1.1813
300,c1cncc(cc1=O)N,-0.2326,4.5452
301,O=CC1OCC11CC1,-0.2437,2.4730000000000003
302,Cc1cn(c(c1C)O)C,-0.172,0.8564
303,N#CC1CC(C=C1)C#N,-0.2944,2.1453
304,N=C1OCC2OC12,-0.2665,3.3039
305,CC1CC2OC2C(=N)O1,-0.2651,3.9183
306,O=CC12CN1CCC2=O,-0.2428,4.8263
307,CC1C2C=CCC(=O)C12,-0.2278,3.1234
308,OC1CC1C1OC1C#N,-0.2768,4.5452
309,CC(C)C#C,-0.2589,0.6578
310,CCC1C2OC2C11CN1,-0.2415,1.9164
311,C1NC2COC=NC12,-0.2209,1.7485
312,Cc1c(c(oc1O)N)N,-0.1707,1.6922
313,OCC1C2OC(=N)C12O,-0.249,2.2974
314,C(c1c(oc(=O)o1)N)O,-0.2115,4.6828
315,CC1CN1C(CN)C#N,-0.2432,4.0982
316,C1CC2(CC2)NCC1=O,-0.2141,2.5326
317,N#CC12CCCC1CO2,-0.2745,4.6281
318,CCC12CN3CC3C1O2,-0.2227,1.3219
319,CCC(C(N)=[NH2+])C([O-])=O,-0.1859,0.3966
320,C#CC1OC1(C#C)C#N,-0.2822,4.1069
321,COCC(CCO)C#C,-0.2537,0.1537
322,O=C1CC2OCOC12,-0.2392,2.0904
323,c1nc(on1)N2CCC2,-0.2265,3.8941
324,[NH3+]CC1=C([O-])C(O)=NN1,-0.1925,5.8435
325,COCC1(C)CC(=N)O1,-0.2575,3.2819
326,C#CCOC1CCOC1,-0.2468,1.6563
327,CCC1CC(=O)C11CC1,-0.2347,3.0008
328,CC1C2C1C(C#C)C2C,-0.2452,0.7917
329,CC1C2OC(C=O)=NC12,-0.2546,4.0683
330,CC1C2C=CC1C21CC1,-0.2202,0.16699999999999998
331,O=C1C=CC(=O)C11CN1,-0.2504,2.3973
332,CC(O)CN=COC=O,-0.2531,5.0129
333,CC(C)C1C2CC3C2N13,-0.23399999999999999,1.5961
334,CC1CC(CO)C(=O)C1,-0.247,3.8604
335,OCC12CC1CCOC2,-0.2479,1.8788
336,CNC12CC1(NC2)C#N,-0.2269,4.8159
337,CC1C2C3N1C2C31CC1,-0.2223,1.5647
338,CNC(=O)CC1NC1C,-0.2316,4.0237
339,C1CC2OCCC12,-0.24100000000000002,1.4217
340,CC1(CC1)C1CC2CN12,-0.2271,1.4336
341,Cc1c(c(c(o1)N)O)O,-0.1873,1.9525
342,CC#CC1(O)C2CCC12,-0.2266,1.5997
343,CC1(CCO1)C(O)C=O,-0.2505,1.5211
344,NC(CO)C1=NOC=N1,-0.2594,2.3649
345,CC1C2CCC12OC=N,-0.2525,3.3496
346,CC1(CC(C1)(CO)O)C,-0.2549,2.4225
347,C1COCCN1CCO,-0.2307,1.4645
348,CC1(C)CC1(CO)C#N,-0.2757,3.6311
349,CC12CC3C(CN13)OC2,-0.2154,0.3228
350,CN=COc1n[nH]nn1,-0.2619,1.6593
351,CC#CC#C,-0.242,1.1881
352,C1C=CCOC(=O)O1,-0.278,5.6552
353,c1c(nc(o1)CN)C#N,-0.2609,6.0215
354,CN=C1OC=NC(C)=C1,-0.2234,1.1273
355,CCC1COC(CO)=N1,-0.2541,3.0616
356,CC(C)c1cnc([nH]1)O,-0.1961,2.2896
357,CC(=O)OC=NCC=O,-0.2534,3.2818
358,CC#CC1(C)CN1C,-0.2172,1.4471
359,CC1=C(NC(=O)C1)C#N,-0.23600000000000002,2.6716
360,C1CC2(O1)C1C3CC2C13,-0.2295,1.4086
361,COCc1c[nH]cc1O,-0.1876,1.855
362,CC12CC1OC(=O)C2=O,-0.2548,5.3603
363,C1C2CC3CC4CC1C234,-0.2008,0.4506
364,CC12COCC1C2O,-0.2334,2.2284
365,CC1(C)CC(O1)C#C,-0.2504,1.7497
366,CCC(=O)C1CCN1C,-0.1999,1.9266
367,Cc1cc2n(c1)CCN2,-0.1659,2.5029
368,Cc1c(nc([nH]1)C)NC,-0.1649,2.8421
369,C1CC23C4C5C4C2C5C13,-0.2369,0.0967
370,CC(C)C12C3CC1CN23,-0.2303,1.6716
371,OC1C2CC1C(=O)NC2,-0.2387,2.6974
372,CC1(CCCC1)CC#N,-0.3105,4.0304
373,CCC#CC(O)C=O,-0.2543,2.8080000000000003
374,OC1COC11CNC1=O,-0.2364,3.6510000000000002
375,OC(C#C)C1CC(=O)O1,-0.2784,3.9961
376,C1C2CCCC=CC12,-0.2231,0.4164
377,OC12C3NC3C1OC2=N,-0.245,2.6796
378,C1C(CO1)(C=O)C=O,-0.2663,1.1384
379,C#CCC1(CO1)C1CN1,-0.2485,1.912
380,OCCC1C2C3CN2C13,-0.23,1.3880000000000001
381,CC12OC3(CO)C1OC23,-0.2429,1.7625
382,CC1(C)CC(CCO)O1,-0.2413,0.9918
383,OC1(COC1C#N)C=O,-0.2916,3.9748
384,CC1=CCC(O)C11CN1,-0.2248,2.9278
385,OCC1CC2(OC12)C#N,-0.2785,4.6392
386,Cc1cc(nc(n1)C)N,-0.2287,2.8885
387,C#CCC12CC(C1)CO2,-0.239,1.9054
388,CCN1C=NC(=N)C=N1,-0.2223,4.9229
389,CC1CC(C)OCCO1,-0.2369,0.8013
390,CC1(CC2CCC2)CO1,-0.2581,1.645
391,CC12C3C1N1CC2=CC31,-0.1931,0.8691
392,C#CCCc1ccn[nH]1,-0.237,1.9264
393,OC1C2CC=CC12C#N,-0.2504,4.5089
394,C(=N)Nc1nnon1,-0.2611,4.7118
395,CCC1(CN=CO1)CC,-0.244,1.9298
396,CC(C)c1cc(n[nH]1)O,-0.2143,2.4818
397,CC1C(CO)N1C(C)=O,-0.2476,4.711
398,O=CNC1C2CC2C1=O,-0.244,4.3123
399,CC12CN1CCC2O,-0.2267,2.0679
400,CC1C(C)(C)C1(N)C#N,-0.2626,3.3641
401,OCCC1C2NC(=O)C12,-0.2358,5.3231
402,CCOC(C)CC(C)O,-0.2406,1.1349
403,CNC(=O)COC(=O)N,-0.2479,1.861
404,CCc1ccnc(=O)o1,-0.2553,5.9222
405,CCC1CC2(CC)OC12,-0.2422,1.6932
406,CC1OC(C)(C)OC1=O,-0.2657,3.0327
407,CC(OC=O)C(C)C#C,-0.2701,3.957
408,c1c(ocn1)NCC=O,-0.2132,0.4124
409,CCC1C2C3C(O)C2N13,-0.237,2.1348
410,Cc1cnc(nc1)OC,-0.2394,2.2739
411,OCCC(O)C#CC=O,-0.2709,3.3539
412,COCCC(F)(F)F,-0.2657,1.9432
413,CC1(CCO1)C#CC#N,-0.2738,5.3023
414,CC(C)C(=O)C1OC1C,-0.243,1.7665
415,CC(C)CC1OCC=C1,-0.2304,1.5247
416,O=CC1CC11CC2NC12,-0.2358,4.9321
417,CC(O)CC1(C)COC1,-0.2403,2.4548
418,OC1CC(=O)C1C1CO1,-0.2488,1.9195
419,CC(C)C1CC(C)CO1,-0.2371,1.5294
420,CC1CC(CO)O1,-0.2462,2.6241
421,CCCC1C2NC1C2=O,-0.2475,2.0282
422,OC12CC1NC(C2)C#N,-0.2334,4.2461
423,O=C1C=CCC1C#C,-0.2388,3.6369
424,O=CC1CC(=O)C2CC12,-0.2449,2.2582
425,CN=c1oc(c(o1)O)N,-0.1992,2.0922
426,C#CCC(=O)C(=O)CO,-0.2465,1.4541
427,OC(CC=O)CN1CC1,-0.2415,4.3845
428,O=CC#CC1CC2OC12,-0.2635,4.4356
429,CN(CC#C)C=O,-0.2516,3.4414
430,CC12OC1C1C2OC1=O,-0.2648,5.4015
431,CN(C)c1nc(co1)O,-0.1834,2.5043
432,CCN1C(C)C(C)C1=O,-0.2356,3.636
433,O=C1OC2C3CC1NC23,-0.2282,3.8152
434,O=CCC(CC#C)C#C,-0.2502,2.248
435,OC1CC=CC1O,-0.2527,1.0376
436,CC1C2N1C(=N)C2(C)O,-0.2401,4.2397
437,CCC12CCC1(C)C2O,-0.2292,1.2126
438,COCC(O)CCO,-0.2567,0.8363
439,O=CCC1NCC1=O,-0.2461,3.2503
440,CN=COC1C(O)C1O,-0.2425,2.085
441,OC1CC11CCN2CC12,-0.2239,2.0229
442,CC#CC(=O)CC(=O)N,-0.2447,3.8076
443,COc1ncc(o1)C#N,-0.248,4.961
444,N=C1OC(=O)CC11CO1,-0.2857,2.4394
445,CC(=O)C1C2OC1C2O,-0.2371,2.9013
446,NC(CCC1CO1)C#N,-0.2704,3.7552
447,CC1CC=CC1(C)C,-0.2349,0.1198
448,CCC(O)(C#N)C(C)O,-0.2923,4.8975
449,CC1CC(C)=CN1C=O,-0.2034,4.1446
450,OCC(=O)CC1CC1O,-0.2606,3.4604
451,CC(CC#C)N1CC1C,-0.223,1.1415
452,CC12C3OC(C1O)C23C,-0.2294,2.4654
453,CC(O)C#CCOC=O,-0.2742,4.7461
454,NC(=O)C1CC1C#N,-0.2639,6.3442
455,CCC1(O)CC(=O)C1O,-0.2494,2.8163
456,CC1(O)C2CC1OCC2,-0.2378,1.8003
457,OCCN1N=NNC1=N,-0.2236,2.9108
458,CC1(CN1)C1(CN1)C=O,-0.2414,3.736
459,OC1CC(O)C1CC#C,-0.24600000000000002,2.5537
460,c1cnc(nc1N)CO,-0.2439,5.4582
461,CC1(CC1O)NC=O,-0.2338,2.5028
462,CC(C)C1CCC1(C)C,-0.2735,0.0617
463,OCC1C2C3NC3C12,-0.2107,3.0756
464,CCC1CN=C(O1)C#N,-0.273,5.1893
465,CCC1C2CC(OC)C12,-0.2428,1.0962
466,COC1(CC(O)C1)C#C,-0.2526,2.1355
467,CC1(CC#N)COCO1,-0.2701,4.3788
468,CN1C(=N)OC(O)=C1C,-0.1754,2.7777
469,C#CC1CCCOC1,-0.24600000000000002,1.1881
470,CC1(CO)C2CC1C=C2,-0.2246,1.4052
471,CC1N=C(C)OCC1O,-0.2405,1.4178
472,CC1(O)COC2CCC12,-0.2389,1.7832
473,O=C1COC(C1)C1CC1,-0.2466,1.9419
474,C(CO)NC(=O)CO,-0.2516,4.9414
475,CC1OC11C(C)CC1=O,-0.2375,3.6104
476,CC1CN2N=CC(C)=C12,-0.2223,3.0984
477,CC(C#N)C1CC2NC12,-0.2415,4.2959
478,COC1CC11CNC1=O,-0.2444,3.2295
479,OC1CC2CCC1OC2,-0.2361,2.0999
480,CC1CCC11COC=N1,-0.2404,1.3487
481,CC(CO)OC(=O)CO,-0.2736,1.5682
482,CCC(CC#C)C(N)=O,-0.2453,3.4254
483,CC#CCN(C)C=O,-0.2454,4.0444
484,C#CCCCCCCO,-0.2581,1.4111
485,CN1C=NC(CO)C1=O,-0.2503,4.1682
486,OC(C#N)C1OC2CC12,-0.2659,5.072
487,C1C2CC3C4C(OC13)C24,-0.2208,1.4792
488,OCC1C2CCOC12,-0.2444,2.9258
