Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
ADJUKJVEVGOWPC-LBOYIXSDNA-N,CHEMBL2112372,24318,A,7.48,chembl20,61755,10116,DRD2,1171,C12=C(C(N3CCN(CC3)CCN4C(NCCC4)=S)CC1C5=CC=C(C=C5)F)C=CC(=C2)Cl
ADKMIPGWRKIEGI-UHFFFAOYNA-N,CHEMBL94844,24318,A,6.49,chembl20,62242,10116,DRD2,1171,C1(C=CN(CC1)CCCCC=2C=CN=CC2)C3=NC=CC=C3
ADLYXAHODXNVQT-SREBMQDQNA-N,CHEMBL425069,1813,A,6.47,chembl20,393314,9606,DRD2,1171,C=1C=C2C(N=C(C=3C(N2NC(C=4C(=CC=CC4OC)OC)=O)=CC=CC3)N5CCN(CC5)C)=CC1Cl
ADPUUXSSYIILOK-UHFFFAOYNA-N,CHEMBL290612,24318,A,5.74,chembl20,62093,10116,DRD2,1171,C1(=CC(=O)C=2C(O1)=CC=C(OCCCCCCN3CCCCC3)C2)C=4C=CN=CC4
ADQOQGKIFXKTKW-UHFFFAOYNA-N,CHEMBL317532,24318,A,6.82,chembl20,60973,10116,DRD2,1171,C12=C(C(OCCNCCCCC3=C4C(C=CC=C4)=C(C=C3)OC)=CC(=C1)F)OCCC2=O
ADTNCVXMQJPBHL-UHFFFAOYNA-N,CHEMBL14538,24318,A,7.4,chembl20,58535,10116,DRD2,1171,N1=C(C=2C=CC(=CC2O1)F)C3CCN(CC3)CCCOC4=C(N)C=CC=C4
APDUBUJHUYQKMX-UHFFFAOYNA-N,90644057,1813,A,5.96178,pubchem,1152404,9606,DRD2,1171,FC(F)(F)C1=CC=C(OCCCN2CCN(CC2)C3=NC=CC=C3)C=C1
APEZAWGOFKUHCA-JOCHJYFZNA-N,CHEMBL28056,1813,A,6.3,chembl20,62883,9606,DRD2,1171,[C@@H]12C3=C(C=CC=C3CCN1C)C=4C(C2)=CC=CC4C=5C(C#N)=CC=CC5C
APEZAWGOFKUHCA-JOCHJYFZNA-N,CHEMBL28056,24318,A,6.3,chembl20,461138,10116,DRD2,1171,[C@@H]12C3=C(C=CC=C3CCN1C)C=4C(C2)=CC=CC4C=5C(C#N)=CC=CC5C
APGISPPDWLSWQA-UHFFFAOYNA-N,CHEMBL575760,1813,A,6.2,chembl20,590242,9606,DRD2,1171,C1C(=O)C2=CN=CN=C2CC1CN3CCC(CC3)C(=O)C=4C=CC(=CC4)F
APIMJWLWTCFYAY-UHFFFAOYNA-N,CHEMBL356965,24318,A,6.44,chembl20,62886,10116,DRD2,1171,C=1(C(N(CCCCN2CCN(CC2)C=3C=C(Cl)C=CC3)C(C1)=O)=O)C(C4=CC=CC=C4)C=5C=CC=CC5
APMOACCZLSVUQN-MDZDMXLPNA-N,CHEMBL314663,1813,A,7.25,chembl20,58461,9606,DRD2,1171,C1(=NC2=CC=CC=C2N1C/C=C/CN3C(=NC=4C3=CC=CC4)C=5C=CC(=CC5)OCCCN6CCCC6)C7=CC=C(C=C7)OCCCN8CCCC8
APNJSCJYYJPREB-YOYRWREZNA-N,CHEMBL126280,1813,A,7.89,chembl20,60074,9606,DRD2,1171,N1(C2=C(OC)C=CC=C2)CCN(CC1)CCCCNC(/C=C/C3=CSC=C3)=O
APNNSBJHVTUORL-MUSVCJDDNA-N,86101,24318,A,10.6021,pubchem,65409,10116,DRD2,1171,IC=1C=C(C(=O)NC[C@H]2N(CCC2)CC)C(OC)=C(OC)C1
APNZRLLPQMBJPZ-UHFFFAOYNA-N,CHEMBL359046,24318,A,7.55,chembl20,58716,10116,DRD2,1171,N1(C=2C(=CC=C(C2)F)C(=C1)C3CCN(CC3)CCN4C(N(C(C)C)CC4)=O)C5=CC=C(C=C5)F
APOMSSAGEAOUGO-UHFFFAOYNA-N,CHEMBL415300,1813,A,7.47,chembl20,59916,9606,DRD2,1171,C1(=NC=2C(=CC=CC2)NC=3C1=CC(=CC3)Cl)N4CCN(CC4)C
APOMSSAGEAOUGO-UHFFFAOYNA-N,CHEMBL415300,24318,A,7.9,chembl20,58226,10116,DRD2,1171,C1(=NC=2C(=CC=CC2)NC=3C1=CC(=CC3)Cl)N4CCN(CC4)C
APOXKSCRLNZDPC-UHFFFAOYNA-N,CHEMBL2113718,1813,A,5.62,chembl20,60048,9606,DRD2,1171,N1(CCN(CC1)CC2=CNC(C#N)=C2)C3=CC=CC=C3
APTCMKUWYITAOW-QXCFTSNCNA-N,CHEMBL93198,24318,A,7.49,chembl20,62247,10116,DRD2,1171,C1(C(N[C@@H]2CN(CC=3C=CC=CC3)CC2)=O)=C(C=C(C(=C1)Cl)NC(=O)CC)OC
AOSAPZYJOHCROI-SJLPKXTDNA-N,CHEMBL1204116,1813,A,7.19,chembl20,59915,9606,DRD2,1171,ClC1=CC=C(N2CCN(C[C@H]3C[C@@H]3C4=CC=CC=C4)CC2)C(Cl)=C1
AOSAPZYJOHCROI-WMZOPIPTNA-N,CHEMBL125455,1813,A,7.19,chembl20,59915,9606,DRD2,1171,[C@@H]1([C@H](C=2C=CC=CC2)C1)CN3CCN(CC3)C=4C(=CC(=CC4)Cl)Cl
AOVJKFZMDSJQDY-UHFFFAOYNA-N,CHEMBL145712,24318,A,5.96,chembl20,61406,10116,DRD2,1171,N1(C=C(C2=CC=C(C=C2)F)C=3C1=CC=C(C)C3)C4CCN(CC4)CCN5C(N(C(C)C)CC5)=O
ACHQQXOLWIKHRK-UHFFFAOYNA-N,CHEMBL207543,1813,A,6.15,chembl20,367037,9606,DRD2,1171,C=1C(N2CCCCC2)=NN3C=C(N=C3C1)CN4CCN(CC4)C5=CC=C(C(=C5)Cl)Cl
ACJNHQLAGNWKBM-UHFFFAOYNA-N,49781678,1813,A,8.20066,pubchem,517792,9606,DRD2,1171,S1C2=C(C(N3CCN(CC3)C)CC=4C1=CC=CC4)C=C(C=C2)C5=CC=C(C=C5)C
ACJUSWFGYPTYCW-UHFFFAOYNA-N,CHEMBL574111,24318,A,7.12,chembl20,587973,10116,DRD2,1171,C1(=CC=2CCNC(C2C=C1O)CCCC)Cl
ACKBCTLAXFJWPZ-FVWGTLPWNA-N,CHEMBL2024507,24318,A,7.19,chembl20,816864,10116,DRD2,1171,C=1C=C(C=C(C1)CC2CCN(CC[C@@H]3CC[C@@H](NC(=O)C)CC3)CC2)C(F)(F)F
ACKBCTLAXFJWPZ-LELJVTLKNA-N,70696189,24318,A,7.19382,pubchem,659792,10116,DRD2,1171,FC(F)(F)C=1C=C(CC2CCN(CCC3CCC(NC(=O)C)CC3)CC2)C=CC1
ACKGCCXJFAZCFF-ZYMSVLFVNA-N,11706497,1813,A,6.85387,pubchem,266238,9606,DRD2,1171,ClC1=C(N2CCN(CC2)CCCCNC(=O)C=3C=4CCC5=CC=C(CCC(C3)=CC4)C=C5)C=CC=C1Cl
ACOHJTDLJUVDNX-XABVODRRNA-N,CHEMBL310204,1813,A,7.82,chembl20,58455,9606,DRD2,1171,N1(C=2C(Cl)=CC=CC2)CCN(CC1)CC[C@@H]3CC[C@@H](NC(=O)C4CCCCC4)CC3
ACRDOIMNOGBPSA-UHFFFAOYNA-N,CHEMBL180319,24318,A,8.08,chembl20,303035,10116,DRD2,1171,C12=C(SC3=CC=CN3C=C1N4CCN(CC4)C)SC=C2
ACRMNEFOWLXFLY-UHFFFAOYNA-N,CHEMBL272694,1813,A,6.0,chembl20,465004,9606,DRD2,1171,C1=CC=C2C(=C1C=3N(C(SCCCN4CCC=5C(CC4)=CC6=C(C5C)OC(=N6)C)=NN3)C)C=CC(C)=N2
ACTVOFFLDWZANE-ZNCRQWOUNA-N,44401612,1813,A,7.21467,pubchem,239052,9606,DRD2,1171,O1[C@H]2C(C[C@@H]1CN(C)C)C=3C(CC=4C2=CC=CC4)=CC=CC3
ACVXRXJQYWHUND-UHFFFAOYNA-N,CHEMBL128232,1813,A,7.21,chembl20,60064,9606,DRD2,1171,C1=C(OCCNCCCOC=2C=CC=CC2)C=CC=C1C
ACWOUFNDQFUXQN-UHFFFAOYNA-N,CHEMBL574700,1813,A,7.72,chembl20,588079,9606,DRD2,1171,C1C2=C(C=C(O)C(O)=C2)C(CN(C1)CCCN3N=NC(=C3)CCCN4CCN(CC4)C5=CC=CC=C5OC)C6=CC=CC=C6C
ACYCBNFGNBHQEP-UHFFFAOYNA-N,11857638,1813,A,7.25964,pubchem,302199,9606,DRD2,1171,S(=O)(=O)(NC1CCC(N2CCC(CC2)C=3C(OC(C)C)=CC=CC3)CC1)C4=CC(OC)=C(OC)C=C4
ACYCBNFGNBHQEP-YHBQERECNA-N,CHEMBL388361,1813,A,7.26,chembl20,450225,9606,DRD2,1171,C=1C=C(OC(C)C)C(C2CCN([C@@H]3CC[C@H](CC3)NS(C4=CC(=C(C=C4)OC)OC)(=O)=O)CC2)=CC1
ACYCBNFGNBHQEP-ZRZAMGCNNA-N,CHEMBL390129,1813,A,6.84,chembl20,438895,9606,DRD2,1171,C=1C=C(OC(C)C)C(C2CCN([C@@H]3CC[C@@H](CC3)NS(C4=CC(=C(C=C4)OC)OC)(=O)=O)CC2)=CC1
ACYKYSGVGZMUIN-UHFFFAOYNA-N,CHEMBL331611,24318,A,5.34,chembl20,62563,10116,DRD2,1171,C12=C(NC=3C1=CC=CC3)CC4N(C2CC4)CCC(C5=CC=CC=C5)C6=CC=CC=C6
ACYRRFBCTGQMNI-LEYKGRLXNA-N,CHEMBL2016619,1813,A,5.0,chembl20,813150,9606,DRD2,1171,C1(=NC2=C(C=CC(=C2)Cl)N(NC(=O)CCCCCCCCCCCCC(NN3C=4C(C(=NC5=C3C=CC(=C5)Cl)N6CCN(CC6)C)=CC=CC4)=O)C=7C=CC=CC17)N8CCN(C)CC8
ACZCVZUKGWGYJX-LNNLXFCONA-N,CHEMBL252818,1813,A,7.66,chembl20,461979,9606,DRD2,1171,C1=CC=2C(=NSC2C=C1)N3CCN(CC3)CCC4=CC=C5C(=C4)C(CC5)NC(=O)C
ACZSQSNJZPULJH-TZMCWYRMNA-N,CHEMBL164195,24318,A,8.49,chembl20,62861,10116,DRD2,1171,[C@H]12[C@H](N(CC=C)CC1)CCC=3C2=C(Br)C=CC3
ADWYWJGQPNBBNY-UHFFFAOYNA-N,CHEMBL92896,24318,A,6.66,chembl20,61763,10116,DRD2,1171,C12=C(C(C3=CC=C(C=C3)F)CC1N4CCN(CC4)CCO)C(Cl)=CC=C2
AEBCLIZNJBUUSQ-UHFFFAOYNA-N,CHEMBL13120,24318,A,6.71,chembl20,62873,10116,DRD2,1171,C12=C(C3=CC(F)=CC=C3N1)CCN(C2)CCCCC4=C5C(C=CC=C5)=NC=C4
AECUHGGFVKDBMH-MPIMZMORNA-N,CHEMBL92713,1813,A,5.4,chembl20,61627,9606,DRD2,1171,N1(C2=CC=C(C=C2)Cl)CCN(CC1)CCCNC(C3=CC(OC)=CC=C3)=O
AEEFPFZMNZVYPW-DHDJHLBQNA-N,11452896,1813,A,8.23657,pubchem,1113286,9606,DRD2,1171,SC=1NC2=CC(CCCN3CCN(CC3)C=4C=C(C=CC4)C(F)(F)F)=CC=C2N1
AEEFPFZMNZVYPW-HIVOMVAKNA-N,CHEMBL2298819,1813,A,8.24,chembl20,932187,9606,DRD2,1171,C1=C2C(=CC(=C1)CCCN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F)N=C(N2)S
AEJCTJSNUNXYQL-UHFFFAOYNA-N,11857864,1813,A,7.02687,pubchem,290869,9606,DRD2,1171,S(=O)(=O)(NC1CCC(N2CCC(CC2)C3=C(OC(C)C)C=CC(F)=C3)CC1)C4=CC(OC)=C(OC)C=C4
AEJCTJSNUNXYQL-YHBQERECNA-N,CHEMBL390473,1813,A,7.03,chembl20,438895,9606,DRD2,1171,C1=C(C=C(C2CCN(CC2)[C@@H]3CC[C@H](CC3)NS(C4=CC(=C(C=C4)OC)OC)(=O)=O)C(OC(C)C)=C1)F
AEJCTJSNUNXYQL-ZRZAMGCNNA-N,CHEMBL228659,1813,A,6.75,chembl20,438895,9606,DRD2,1171,C1=C(C=C(C2CCN(CC2)[C@@H]3CC[C@@H](CC3)NS(C4=CC(=C(C=C4)OC)OC)(=O)=O)C(OC(C)C)=C1)F
AEKRAVIJSVJVBT-UHFFFAOYNA-N,44436301,1813,A,6.75203,pubchem,300332,9606,DRD2,1171,ClC1=CC=C(N2CCN(CC2)CCCCN3S(=O)(=O)C4=C(C3=O)C=CC=C4)C=C1
AENACYRRZFSOSG-UHFFFAOYNA-N,CHEMBL269396,1813,A,5.85,chembl20,60060,9606,DRD2,1171,C1(=CC2=C(C=CC(=C2)Cl)CC3=C1C=CC=C3)N4CCC(CC4)C
AEOVKEFMKKZVSG-UHFFFAOYNA-N,CHEMBL123048,24318,A,6.63,chembl20,61416,10116,DRD2,1171,C1(=NSC=2C1=CC=CC2)N3CCN(CCCCN4C(CC5(CC4=O)CCCC5)=O)CCC3
AEQDJSLRWYMAQI-KRWDZBQONA-N,CHEMBL487182,1813,A,5.6,chembl20,942285,9606,DRD2,1171,C1=C(C(=C2CN3[C@@H](CC2=C1)C4=C(CC3)C=C(C(=C4)OC)OC)OC)OC
AEQHEVDDTLOOMD-UHFFFAOYNA-N,CHEMBL1173017,24318,A,7.39,chembl20,643049,10116,DRD2,1171,C1N(CCN(C1)CCCCCCN2CCN(CC2)C=3C=CN=C4C3C=CC=C4)C5=CC=CC=C5
ASMHEURTLBOCKH-HZHRSRAPNA-N,CHEMBL241281,1813,A,5.62,chembl20,454685,9606,DRD2,1171,C1=CC=C2CCN(CC2=C1)/C=N/C3=CC4=C(C=C3)CCCC4OC(C)=O
ASMVKSNPCVNVFO-UHFFFAOYNA-N,CHEMBL92682,24318,A,7.09,chembl20,63044,10116,DRD2,1171,S(C(F)(F)F)(OC=1C2=C(C3CCN(C3CC2)CCC)C=CC1)(=O)=O
ASNREPVWGRJPSG-HUUCEWRRNA-N,44326324,24318,A,6.82391,pubchem,65898,10116,DRD2,1171,O1C=2C=3[C@H]4[C@H](N(CC4)CCC)CCC3C=CC2C=C1
ASPBVUBBCSOPSY-UHFFFAOYNA-N,CHEMBL436141,24318,A,6.9,chembl20,58535,10116,DRD2,1171,N1=C(C=2C=CC(=CC2O1)F)C3CCN(CC3)CCCOC4=C(C=C(C=C4)C(=O)C)OCC
ASRDPULQBHFPGU-HCKCONIQNA-N,CHEMBL250689,1813,A,6.0,chembl20,458979,9606,DRD2,1171,C1C[C@@H](CN2CCC[C@H](C2)CC3=CC=C(C=C3)F)[C@@H](CC1)NC(=O)NC=4C=CC=C(C(=O)C)C4
ASXGAOFCKGHGMF-MRVPVSSYNA-N,CHEMBL1160788,24318,A,6.92,chembl20,62066,10116,DRD2,1171,C=12C(=CC(=C(C1)O)O)CC[C@@H](N)C2
ASXGAOFCKGHGMF-UHFFFAOYNA-N,3153,24318,A,7.18243,pubchem,65751,10116,DRD2,1171,OC=1C=C2CC(N)CCC2=CC1O
ASXGJMSKWNBENU-AWEZNQCLNA-N,10125797,24318,A,5.29482,pubchem,65725,10116,DRD2,1171,OC1=C2C[C@@H](N(CCC)CCC)CCC2=CC=C1
ASXGJMSKWNBENU-CQSZACIVNA-N,6603866,24318,A,6.08302,pubchem,65725,10116,DRD2,1171,OC1=C2C[C@H](N(CCC)CCC)CCC2=CC=C1
ASXGJMSKWNBENU-CQSZACIVNA-N,CHEMBL26998,1813,A,7.05,chembl20,61302,9606,DRD2,1171,C=1C=CC=2CC[C@H](CC2C1O)N(CCC)CCC
ASXGJMSKWNBENU-UHFFFAOYNA-N,CHEMBL56,1813,A,7.08,chembl20,61284,9606,DRD2,1171,C1(N(CCC)CCC)CCC=2C(C1)=C(C=CC2)O
ASXGJMSKWNBENU-UHFFFAOYNA-N,CHEMBL56,24318,A,8.28,chembl20,58680,10116,DRD2,1171,C1(N(CCC)CCC)CCC=2C(C1)=C(C=CC2)O
ATCDHNZWZSXBNA-UHFFFAOYNA-N,CHEMBL1161054,24318,A,6.91,chembl20,62394,10116,DRD2,1171,N1(C(=O)CCCCC1)CC=2OC(CN3CCN(CC3)C4=C(OC(C)C)C=CC=C4)=CC2
ATCJEKKXEJVYOB-UHFFFAOYNA-N,CHEMBL380330,1813,A,9.26,chembl20,337507,9606,DRD2,1171,C1=C(C=C2C(CC3=C(CCN(CC2)C)C=CC=C3)=C1)OC
ARSAADUCGPEJRE-JDSLCJAXNA-N,CHEMBL2114240,24318,A,7.23,chembl20,62574,10116,DRD2,1171,S(C=1C=C(C(NC[C@@H]2N(CCC2)CCCCCC)=O)C(=CC1)OC)(=O)(=O)N
ARSAADUCGPEJRE-KIAZQMPENA-N,CHEMBL2115233,24318,A,5.85,chembl20,62574,10116,DRD2,1171,S(C=1C=C(C(NC[C@H]2N(CCC2)CCCCCC)=O)C(=CC1)OC)(=O)(=O)N
ARSYJYRZNBRPGH-UHFFFAOYNA-N,CHEMBL357286,24318,A,8.34,chembl20,63061,10116,DRD2,1171,N1(C(=CC=C1CN2CCN(CC2)C3=C(C(C)C)C=CC=C3)CN4C(=O)CCC4)C
ARWONURFSGKTJW-UHFFFAOYNA-N,CHEMBL1940408,1813,A,6.55,chembl20,797751,9606,DRD2,1171,C=1C=C(CCCCN2CCN(CC2)C3=CC=C(C=C3)Cl)C=CC1F
ARXSWHRTJLWTMT-VLGAKWMJNA-N,CHEMBL78195,1813,A,7.92,chembl20,58455,9606,DRD2,1171,C=1(C(N2CCN(CC2)CC[C@@H]3CC[C@@H](NC(=O)C4CCCCCC4)CC3)=CC=CC1Cl)Cl
ARZIOMWQBRPJMY-LELJVTLKNA-N,CHEMBL267304,24318,A,8.43,chembl20,61409,10116,DRD2,1171,N1(C=C(C2CCN(CC2)CCN3C(NCC3)=O)C=4C1=CC=C(C)C4)C5=CC=C(C=C5)F
ARZYDJJAHRASCM-HXTKINSTNA-N,CHEMBL416939,1813,A,5.6,chembl20,60231,9606,DRD2,1171,C=1(C(=C2C=CC=CC2=C(C1)Cl)OC)C(=O)NCCN3CCN(CC3)C4=CC=CC=C4
ASAIZTYPKBAHRO-UHFFFAOYNA-N,CHEMBL36491,24318,A,5.85,chembl20,62093,10116,DRD2,1171,C1(=CC(=O)C=2C(O1)=CC=C(OCCCCCCN3CCCCC3)C2)C=4SC=CC4
ASDKFOKSFQKONG-CKFYMFOVNA-N,CHEMBL79725,24318,A,7.55,chembl20,62254,10116,DRD2,1171,C1(=CNC2=C1C=CC(F)=C2)C3CN(CCC4C5=C(C=C(C(=O)N)C=C5)CCO4)CC3
ASEDQXVCNPLEIO-HIFRSBDPNA-N,CHEMBL11294,24318,A,6.37,chembl20,62551,10116,DRD2,1171,[C@@H]12N(CC[C@@H]1CC3=C(OC)C=CC=C3C2)CC=C
ASEDQXVCNPLEIO-UHFFFAOYNA-N,CHEMBL2114338,24318,A,6.37,chembl20,62562,10116,DRD2,1171,C12N(CCC1CC3=C(OC)C=CC=C3C2)CC=C
ASGIQUHBAVIOTI-UHFFFAOYNA-N,CHEMBL20377,24318,A,5.95,chembl20,62101,10116,DRD2,1171,N1(CCN(CCC2=CC(Cl)=C(C=C2)Cl)C)CCCC1
ASGPPKHUWWRTLM-UHFFFAOYNA-N,9995378,1813,A,5.49485,pubchem,64669,9606,DRD2,1171,O1C(C2=CN(C3CCN(CC3)CC4=CC=CC=C4)C=C2)=CN=C1
ASIRPKXJTMFOPA-UHFFFAOYNA-N,CHEMBL72220,24318,A,5.58,chembl20,58549,10116,DRD2,1171,C=1(C2=C(C(C)C3=C(C1)C=CC=C3)C=CC(=C2)Cl)N4CCN(CC4)C
ASKCQUQTSBOXCM-UHFFFAOYNA-N,44438197,1813,A,7.58336,pubchem,305314,9606,DRD2,1171,ClC1=C(C2(O)CCN(CC2)CC=3C=4C(NC3)=CC=CC4)C=CC=C1Cl
ARATVKMWZQJWME-UHFFFAOYNA-N,CHEMBL542542,24318,A,7.06,chembl20,61740,10116,DRD2,1171,N1(C=2C(OC)=CC=CC2)CCN(CCC=3C(=CC=C(C3)Cl)OCCC=4C=CC=CC4)CC1
ARAWZUUSXRTRLM-PQAJHJHHNA-N,CHEMBL288704,24318,A,8.85,chembl20,62416,10116,DRD2,1171,C=1(C(=C(OC)C=C(C1)CCF)OC)C(NC[C@H]2N(CCC2)CC)=O
ARBMCJMFENZVMO-PKRZOPRNNA-N,44415802,1813,A,6.08197,pubchem,270276,9606,DRD2,1171,ClC1=CC=2N=C(N3CCN(CC3)C)C4=C(N(NC(=O)C5=CC=6OCOC6C=C5)C2C=C1)C=CC=C4
ARCMZUUOXKBRHF-VJSLDGLSNA-N,CHEMBL13051,24318,A,8.66,chembl20,61409,10116,DRD2,1171,N1(C=C(C2CCN(CC2)CCCCCCN3C(NCC3)=O)C=4C1=CC=C(Cl)C4)C5=CC=C(C=C5)F
AREYZFZATPKFNP-UHFFFAOYNA-N,CHEMBL1085903,1813,A,7.7,chembl20,614247,9606,DRD2,1171,C1N(C=2C=CC=C(C2)C(F)(F)F)C(=O)N(CC3CCCCN3)C1
ARLXFWKBKURRSU-UHFFFAOYNA-N,CHEMBL259415,1813,A,5.16,chembl20,474646,9606,DRD2,1171,N1(CCN(CC1)C=2C=CC=C(C2C)C)CCCC(N=CC3NC=4C=CC=CC4C(N3C5=CC=CC=C5)=O)=O
ARMCHIDXFRTTKY-UHFFFAOYNA-N,15121345,24318,A,10.0605,pubchem,65909,10116,DRD2,1171,FC=1C=CC(C(=O)CCCN2CCC3(N(CN(C3=O)CC4=CC=C(OC)C=C4)C5=CC=CC=C5)CC2)=CC1
ALZFDRFMVFNHJV-PKSOQXRJNA-N,CHEMBL220189,1813,A,6.63,chembl20,422482,9606,DRD2,1171,C1=CC(C(NCN2CCC(CC2)C3=CC=CC=C3)=O)=CC(C)=C1
AMADNKXMEDYTCS-UHFFFAOYNA-N,24815439,1813,A,7.40001,pubchem,454004,9606,DRD2,1171,FC=1C(C2CCN(CC2)CC=3N(C=4C(N3)=CC=CC4)C)=CC=CC1
AMADNKXMEDYTCS-UHFFFAOYNA-N,24815439,24318,A,7.03152,pubchem,595543,10116,DRD2,1171,FC=1C(C2CCN(CC2)CC=3N(C=4C(N3)=CC=CC4)C)=CC=CC1
AMDRAFDQLSKJMW-LBOYIXSDNA-N,CHEMBL1223747,1813,A,8.8,chembl20,652613,9606,DRD2,1171,N(CCCCN1CCN(CC1)C=2C=CC=C(C2)C(F)(F)F)C=3C=CC4=C(N3)C=CC=C4
AMFHRDQSGJPBOQ-LQFNOIFHNA-N,CHEMBL2159463,1813,A,7.12,chembl20,855541,9606,DRD2,1171,C1C(NC(C=2C=CC=CC2OCC)=O)CCN(CCOC3=CC=CC(=C3)F)C1
AMGPQKPUEYAJPL-UHFFFAOYNA-N,CHEMBL291132,24318,A,5.08,chembl20,62091,10116,DRD2,1171,C1(=CC(=O)C=2C(O1)=CC=C(OCCCCCCN3CC(CCO)NCC3)C2)C=4C=CC=CC4
AMINWDBXDFTOJB-UHFFFAOYNA-N,CHEMBL38294,24318,A,5.62,chembl20,62093,10116,DRD2,1171,C1(C2=C(C=CC=C2OCCCCCCCN3CCC(CC3)O)OC(=C1)C=4C=CC=CC4)=O
AMIPACMJPDEFPD-UHFFFAOYNA-N,CHEMBL188798,24318,A,7.0,chembl20,305866,10116,DRD2,1171,N1(C2=CC=3OCOC3C=C2)CCN(CC1)CCCCC=4C=5C(=CC=C(C5)F)NC4
AMIUKHHHHJYBCP-UHFFFAOYNA-N,120540,1813,A,6.32057,pubchem,662964,9606,DRD2,1171,N1(CCN(CC1)C2=CC=CC=C2)CCC3=CC=CC=C3
AMJCGARHMZJBKQ-UHFFFAOYNA-N,46893146,1813,A,8.16115,pubchem,594006,9606,DRD2,1171,S1C(C=2C=C3CCN(CCCCN4CCN(CC4)C=5C(OC)=CC=CC5)C(=O)C3=CC2)=CC=C1
AMNJEUCLKUVQHU-UHFFFAOYNA-N,CHEMBL172556,24318,A,7.3,chembl20,61444,10116,DRD2,1171,N1(C=2C(OC)=CC=CC2)CCN(CC1)CCSC3C4=C(C=CC(=C4)OC)CCC3
BIMOEXMWKRFASR-UHFFFAOYNA-N,57334252,24318,A,6.93442,pubchem,750653,10116,DRD2,1171,FC=1C=C2ON=C(C3CCN(CC3)CCCOC4=CC=5OC(=O)C=C(C5C=C4)C)C2=CC1
BIQBLMZWRXRLPF-UHFFFAOYNA-N,44512625,24318,A,6.46256,pubchem,449443,10116,DRD2,1171,O(C=1C(N2CCN(CC2)CCCN3C=4N(C5=C(N4)N(C(=O)N(C5=O)C)C)C=C3C)=CC=CC1)C
BIRXIMHINOMMAU-LQFNOIFHNA-N,CHEMBL110063,1813,A,5.82,chembl20,60069,9606,DRD2,1171,C=1(N(C2=CC=CC=C2N1)CC3=CC=C(C=C3)Cl)NC=4C=CC(C(=O)OC)=CC4
BISVFNHMXVNVMG-UHFFFAOYNA-N,CHEMBL88365,1813,A,8.34,chembl20,609691,9606,DRD2,1171,C1(=CC=CC(=C1)O)N2CCN(CC2)CC3=CC=CC=C3
